DQN：
实验条件：抽象训练 point43
宽400高300
INTERVAL_NUM = 100
EPSILON_DECAY = 0.99
train_time=15
STEER_AMT = 0.35
SPEED_AMT = 0.8
DSEIRED_DIS = 5
REPLAY_MEMORY_SIZE = 7_000

反馈函数：
        if len(self.collision_hist) != 0:
            done = True
            reward -= 300
        elif kmh < 15:
            done = False
            reward -= 5
        elif kmh < 30:
            done = False
            reward += 10
        else:
            done = False
            reward += 30

        if time.time() - self.episode_start > 10:
            dis = self.get_dis()
            if dis < CarEnv.DSEIRED_DIS:
                reward -= 5 * (int)(CarEnv.DSEIRED_DIS - dis)

episode 312, episode_reward 1350, epsilon 0.043908
episode 313, episode_reward 8445, epsilon 0.043469
episode 314, episode_reward 2100, epsilon 0.043034
episode 315, episode_reward 1890, epsilon 0.042604
episode 316, episode_reward 8275, epsilon 0.042178
episode 317, episode_reward 3320, epsilon 0.041756
episode 318, episode_reward 570, epsilon 0.041339
episode 319, episode_reward 1235, epsilon 0.040925
episode 320, episode_reward 1465, epsilon 0.040516
episode 321, episode_reward 15315, epsilon 0.040111
episode 322, episode_reward 4945, epsilon 0.039710
episode 323, episode_reward 3460, epsilon 0.039313
episode 324, episode_reward 1800, epsilon 0.038920
episode 325, episode_reward -60, epsilon 0.038530
episode 326, episode_reward -90, epsilon 0.038145
episode 327, episode_reward -60, epsilon 0.037764
episode 328, episode_reward 3295, epsilon 0.037386
episode 329, episode_reward 5125, epsilon 0.037012
episode 330, episode_reward 4940, epsilon 0.036642
episode 331, episode_reward 9755, epsilon 0.036276
episode 332, episode_reward 1875, epsilon 0.035913
episode 333, episode_reward 3700, epsilon 0.035554
episode 334, episode_reward -40, epsilon 0.035198
episode 335, episode_reward 5190, epsilon 0.034846
episode 336, episode_reward 6780, epsilon 0.034498
episode 337, episode_reward 1855, epsilon 0.034153
episode 338, episode_reward 3155, epsilon 0.033811
episode 339, episode_reward 3385, epsilon 0.033473
episode 340, episode_reward -40, epsilon 0.033138
episode 341, episode_reward -25, epsilon 0.032807
episode 342, episode_reward -65, epsilon 0.032479
episode 343, episode_reward 14990, epsilon 0.032154
episode 344, episode_reward 5305, epsilon 0.031833
episode 345, episode_reward 6395, epsilon 0.031514
episode 346, episode_reward 3375, epsilon 0.031199
episode 347, episode_reward 9665, epsilon 0.030887
episode 348, episode_reward 1715, epsilon 0.030578
episode 349, episode_reward 4760, epsilon 0.030272
episode 350, episode_reward 12875, epsilon 0.029970
