DQN：
实验条件：抽象训练
宽400高300
INTERVAL_NUM = 100
EPSILON_DECAY = 0.99
train_time=10
STEER_AMT = 0.35
SPEED_AMT = 0.8
DSEIRED_DIS = 5
REPLAY_MEMORY_SIZE = 7_000


反馈函数：
        if len(self.collision_hist) != 0:
            done = True
            reward -= 300
        elif kmh < 15:
            done = False
            reward -= 5
        elif kmh < 30:
            done = False
            reward += 10
        else:
            done = False
            reward += 30

        if time.time() - self.episode_start > 5:
            dis = self.get_dis()
            if dis < CarEnv.DSEIRED_DIS:
                reward -= int(time.time() - self.episode_start) * (int)(CarEnv.DSEIRED_DIS - dis)


episode 360, episode_reward 3705, epsilon 0.027104
episode 361, episode_reward 11010, epsilon 0.026833
episode 362, episode_reward -225, epsilon 0.026565
episode 363, episode_reward 14710, epsilon 0.026299
episode 364, episode_reward 3415, epsilon 0.026036
episode 365, episode_reward 260, epsilon 0.025776
episode 366, episode_reward 3092, epsilon 0.025518
episode 367, episode_reward 14781, epsilon 0.025263
episode 368, episode_reward 1702, epsilon 0.025010
episode 369, episode_reward -205, epsilon 0.024760
episode 370, episode_reward 3405, epsilon 0.024512
episode 371, episode_reward 14459, epsilon 0.024267
episode 372, episode_reward 4375, epsilon 0.024025
episode 373, episode_reward 14894, epsilon 0.023784
episode 374, episode_reward 13984, epsilon 0.023547
episode 375, episode_reward 3375, epsilon 0.023311
episode 376, episode_reward 3715, epsilon 0.023078
episode 377, episode_reward 14483, epsilon 0.022847
episode 378, episode_reward 14510, epsilon 0.022619
episode 379, episode_reward 215, epsilon 0.022393
episode 380, episode_reward 955, epsilon 0.022169
episode 381, episode_reward 4501, epsilon 0.021947
episode 382, episode_reward 1681, epsilon 0.021727
episode 383, episode_reward 14716, epsilon 0.021510
episode 384, episode_reward 12268, epsilon 0.021295
episode 385, episode_reward 155, epsilon 0.021082
episode 386, episode_reward 13400, epsilon 0.020871
episode 387, episode_reward 3565, epsilon 0.020663
episode 388, episode_reward 3985, epsilon 0.020456
episode 389, episode_reward 2982, epsilon 0.020251
episode 390, episode_reward 1285, epsilon 0.020049
episode 391, episode_reward 1976, epsilon 0.019848
episode 392, episode_reward 555, epsilon 0.019650
episode 393, episode_reward 470, epsilon 0.019453
episode 394, episode_reward 14011, epsilon 0.019259
episode 395, episode_reward 175, epsilon 0.019066
episode 396, episode_reward 325, epsilon 0.018876
episode 397, episode_reward 7893, epsilon 0.018687
episode 398, episode_reward 3645, epsilon 0.018500
episode 399, episode_reward 12002, epsilon 0.018315
episode 400, episode_reward 3004, epsilon 0.018132
episode 401, episode_reward 3695, epsilon 0.017951
episode 402, episode_reward 3025, epsilon 0.017771
episode 403, episode_reward 4368, epsilon 0.017593
episode 404, episode_reward 2475, epsilon 0.017417
episode 405, episode_reward 3645, epsilon 0.017243
episode 406, episode_reward 14973, epsilon 0.017071
episode 407, episode_reward 830, epsilon 0.016900
episode 408, episode_reward 14793, epsilon 0.016731
episode 409, episode_reward 3735, epsilon 0.016564
episode 410, episode_reward 14360, epsilon 0.016398
episode 411, episode_reward 14282, epsilon 0.016234
episode 412, episode_reward 4155, epsilon 0.016072
episode 413, episode_reward 4035, epsilon 0.015911
episode 414, episode_reward 14693, epsilon 0.015752
episode 415, episode_reward 10997, epsilon 0.015594
episode 416, episode_reward 7866, epsilon 0.015439
episode 417, episode_reward 4575, epsilon 0.015284
episode 418, episode_reward 1570, epsilon 0.015131
episode 419, episode_reward 2985, epsilon 0.014980
episode 420, episode_reward 4375, epsilon 0.014830
episode 421, episode_reward 265, epsilon 0.014682
episode 422, episode_reward 545, epsilon 0.014535
episode 423, episode_reward 1998, epsilon 0.014390
episode 424, episode_reward 14699, epsilon 0.014246
episode 425, episode_reward 1630, epsilon 0.014103
episode 426, episode_reward 1961, epsilon 0.013962
episode 427, episode_reward 505, epsilon 0.013823
episode 428, episode_reward 1587, epsilon 0.013684
episode 429, episode_reward 4095, epsilon 0.013548
episode 430, episode_reward 385, epsilon 0.013412
episode 431, episode_reward 175, epsilon 0.013278
episode 432, episode_reward 10307, epsilon 0.013145
episode 433, episode_reward 4335, epsilon 0.013014
