DQN：非抽象训练

EPISODES = 10000
EPSILON = 1
INTERVAL_NUM = 100

EPSILON_DECAY = 0.995  ## 0.9975 99975
MIN_EPSILON = 0.001

MIN_REPLAY_MEMORY_SIZE = 1_000
AGGREGATE_STATS_EVERY = 5


REPLAY_MEMORY_SIZE = 7_000

MINIBATCH_SIZE = 4
UPDATE_TARGET_EVERY = 10  # used to be 10
DISCOUNT = 0.99

SECONDS_PER_EPISODE = 20
    STEER_AMT = 1
    SPEED_AMT = 1
step:
            if action == 0:
                self.vehicle.apply_control(carla.VehicleControl(throttle=1.0 * self.SPEED_AMT, steer=-1.0 * self.STEER_AMT))
            if action == 1:
                self.vehicle.apply_control(carla.VehicleControl(throttle=1.0 * self.SPEED_AMT, steer=0.0))
            if action == 2:
                self.vehicle.apply_control(carla.VehicleControl(throttle=1.0 * self.SPEED_AMT, steer=1.0 * self.STEER_AMT))
        if len(self.collision_hist) != 0:
            done = True
            reward -= 1
        elif kmh < 50:
            done = False
            reward -= 1
        else:
            done = False
            reward += 1
episode 383, episode_reward -50, epsilon 0.147373
episode 384, episode_reward -51, epsilon 0.146636
episode 385, episode_reward -53, epsilon 0.145903
episode 386, episode_reward -53, epsilon 0.145173
episode 387, episode_reward -70, epsilon 0.144447
episode 388, episode_reward -50, epsilon 0.143725
episode 389, episode_reward -63, epsilon 0.143006
episode 390, episode_reward -49, epsilon 0.142291
episode 391, episode_reward -49, epsilon 0.141580
episode 392, episode_reward -48, epsilon 0.140872
episode 393, episode_reward -29, epsilon 0.140168
episode 394, episode_reward -56, epsilon 0.139467
episode 395, episode_reward -78, epsilon 0.138769
episode 396, episode_reward -71, epsilon 0.138076
episode 397, episode_reward -51, epsilon 0.137385
episode 398, episode_reward -54, epsilon 0.136698
episode 399, episode_reward -50, epsilon 0.136015
episode 400, episode_reward -47, epsilon 0.135335
episode 401, episode_reward -59, epsilon 0.134658
episode 402, episode_reward -47, epsilon 0.133985
episode 403, episode_reward -57, epsilon 0.133315
episode 404, episode_reward -51, epsilon 0.132648
episode 405, episode_reward -55, epsilon 0.131985
episode 406, episode_reward -51, epsilon 0.131325
episode 407, episode_reward -50, epsilon 0.130668
episode 408, episode_reward -64, epsilon 0.130015
episode 409, episode_reward -51, epsilon 0.129365
episode 410, episode_reward -50, epsilon 0.128718
episode 411, episode_reward -57, epsilon 0.128075
episode 412, episode_reward -45, epsilon 0.127434
episode 413, episode_reward -47, epsilon 0.126797
episode 414, episode_reward -48, epsilon 0.126163
episode 415, episode_reward -49, epsilon 0.125532
episode 416, episode_reward -43, epsilon 0.124905
episode 417, episode_reward -56, epsilon 0.124280
episode 418, episode_reward -47, epsilon 0.123659
episode 419, episode_reward -46, epsilon 0.123040
episode 420, episode_reward -46, epsilon 0.122425
episode 421, episode_reward -48, epsilon 0.121813
episode 422, episode_reward -49, epsilon 0.121204
episode 423, episode_reward -50, epsilon 0.120598
episode 424, episode_reward -50, epsilon 0.119995
episode 425, episode_reward -46, epsilon 0.119395
episode 426, episode_reward -50, epsilon 0.118798
episode 427, episode_reward -102, epsilon 0.118204
episode 428, episode_reward -51, epsilon 0.117613
episode 429, episode_reward -81, epsilon 0.117025
episode 430, episode_reward -55, epsilon 0.116440
episode 431, episode_reward -45, epsilon 0.115858
episode 432, episode_reward -72, epsilon 0.115278
episode 433, episode_reward -83, epsilon 0.114702
episode 434, episode_reward -63, epsilon 0.114128
episode 435, episode_reward -116, epsilon 0.113558
episode 436, episode_reward -156, epsilon 0.112990
episode 437, episode_reward -107, epsilon 0.112425
episode 438, episode_reward -45, epsilon 0.111863
episode 439, episode_reward -153, epsilon 0.111304
episode 440, episode_reward -70, epsilon 0.110747
episode 441, episode_reward -69, epsilon 0.110193
episode 442, episode_reward -115, epsilon 0.109642
episode 443, episode_reward -52, epsilon 0.109094
episode 444, episode_reward -48, epsilon 0.108549
episode 445, episode_reward -49, epsilon 0.108006
episode 446, episode_reward -67, epsilon 0.107466
episode 447, episode_reward -58, epsilon 0.106929
episode 448, episode_reward -69, epsilon 0.106394
episode 449, episode_reward -53, epsilon 0.105862
episode 450, episode_reward -73, epsilon 0.105333
episode 451, episode_reward -69, epsilon 0.104806
episode 452, episode_reward -72, epsilon 0.104282
episode 453, episode_reward -53, epsilon 0.103761
episode 454, episode_reward -46, epsilon 0.103242
episode 455, episode_reward -72, epsilon 0.102726
episode 456, episode_reward -45, epsilon 0.102212
episode 457, episode_reward -44, epsilon 0.101701
episode 458, episode_reward -47, epsilon 0.101192
episode 459, episode_reward -356, epsilon 0.100686
episode 460, episode_reward -52, epsilon 0.100183
episode 461, episode_reward -50, epsilon 0.099682
episode 462, episode_reward -83, epsilon 0.099184
episode 463, episode_reward -74, epsilon 0.098688
episode 464, episode_reward -48, epsilon 0.098194
episode 465, episode_reward -154, epsilon 0.097703
