DQN：
实验条件：非抽象训练 pointdefault
宽400高300
INTERVAL_NUM = 100
EPSILON_DECAY = 0.99
train_time=15
STEER_AMT = 0.35
SPEED_AMT = 0.8
DSEIRED_DIS = 5
REPLAY_MEMORY_SIZE = 7_000

反馈函数：
        if len(self.collision_hist) != 0:
            done = True
            reward -= 300
        elif kmh < 15:
            done = False
            reward -= 5
        elif kmh < 30:
            done = False
            reward += 10
        else:
            done = False
            reward += 30

        if time.time() - self.episode_start > 10:
            dis = self.get_dis()
            if dis < CarEnv.DSEIRED_DIS:
                reward -= 5 * (int)(CarEnv.DSEIRED_DIS - dis)


episode 151, episode_reward 265, epsilon 0.221452
episode 152, episode_reward -255, epsilon 0.219237
episode 153, episode_reward 1320, epsilon 0.217045
episode 154, episode_reward -265, epsilon 0.214874
episode 155, episode_reward 205, epsilon 0.212726
episode 156, episode_reward 995, epsilon 0.210598
episode 157, episode_reward -125, epsilon 0.208492
episode 158, episode_reward -200, epsilon 0.206408
episode 159, episode_reward -220, epsilon 0.204343
episode 160, episode_reward 1585, epsilon 0.202300
episode 161, episode_reward 900, epsilon 0.200277
episode 162, episode_reward -80, epsilon 0.198274
episode 163, episode_reward -260, epsilon 0.196292
episode 164, episode_reward 245, epsilon 0.194329
episode 165, episode_reward -260, epsilon 0.192385
episode 166, episode_reward -170, epsilon 0.190461
episode 167, episode_reward -160, epsilon 0.188557
episode 168, episode_reward -220, epsilon 0.186671
episode 169, episode_reward 275, epsilon 0.184805
episode 170, episode_reward 165, epsilon 0.182957
episode 171, episode_reward -210, epsilon 0.181127
episode 172, episode_reward -255, epsilon 0.179316
episode 173, episode_reward 1570, epsilon 0.177523
episode 174, episode_reward -280, epsilon 0.175747
episode 175, episode_reward -230, epsilon 0.173990
episode 176, episode_reward 305, epsilon 0.172250
episode 177, episode_reward 715, epsilon 0.170527
episode 178, episode_reward -245, epsilon 0.168822
episode 179, episode_reward -290, epsilon 0.167134
episode 180, episode_reward 0, epsilon 0.165463
episode 181, episode_reward -250, epsilon 0.163808
episode 182, episode_reward 305, epsilon 0.162170
episode 183, episode_reward -230, epsilon 0.160548
episode 184, episode_reward -240, epsilon 0.158943
episode 185, episode_reward -245, epsilon 0.157353
episode 186, episode_reward 190, epsilon 0.155780
episode 187, episode_reward -175, epsilon 0.154222
episode 188, episode_reward -270, epsilon 0.152680
episode 189, episode_reward -270, epsilon 0.151153
episode 190, episode_reward 255, epsilon 0.149641
episode 191, episode_reward 1425, epsilon 0.148145
episode 192, episode_reward -180, epsilon 0.146664
episode 193, episode_reward -230, epsilon 0.145197
episode 194, episode_reward -270, epsilon 0.143745
episode 195, episode_reward -220, epsilon 0.142307
episode 196, episode_reward -195, epsilon 0.140884
episode 197, episode_reward -165, epsilon 0.139476
episode 198, episode_reward 200, epsilon 0.138081
episode 199, episode_reward 1345, epsilon 0.136700
episode 200, episode_reward -130, epsilon 0.135333
episode 201, episode_reward -225, epsilon 0.133980
episode 202, episode_reward -220, epsilon 0.132640
episode 203, episode_reward -300, epsilon 0.131313
episode 204, episode_reward 1475, epsilon 0.130000
episode 205, episode_reward -185, epsilon 0.128700
episode 206, episode_reward -270, epsilon 0.127413
episode 207, episode_reward -225, epsilon 0.126139
episode 208, episode_reward -230, epsilon 0.124878
episode 209, episode_reward -210, epsilon 0.123629
episode 210, episode_reward 1335, epsilon 0.122393
episode 211, episode_reward 1330, epsilon 0.121169
episode 212, episode_reward -255, epsilon 0.119957
episode 213, episode_reward 245, epsilon 0.118758
episode 214, episode_reward -235, epsilon 0.117570
episode 215, episode_reward -180, epsilon 0.116394
episode 216, episode_reward 310, epsilon 0.115230
episode 217, episode_reward 230, epsilon 0.114078
episode 218, episode_reward 215, epsilon 0.112937
episode 219, episode_reward 220, epsilon 0.111808
episode 220, episode_reward 1495, epsilon 0.110690
episode 221, episode_reward 235, epsilon 0.109583
episode 222, episode_reward -245, epsilon 0.108487
episode 223, episode_reward 230, epsilon 0.107402
episode 224, episode_reward 1285, epsilon 0.106328
episode 225, episode_reward -220, epsilon 0.105265
